Gene,IG Score Before Training,IG Score After Training,change
HFM1,0.2689414322376251,0.0002427412255201,0.26869869101210503
EVI5,0.2689414322376251,0.0002379676734562,0.26870346456416894
CCDC18,0.2689414322376251,0.0002414048940408,0.26870002734358434
FAM69A,0.2689414322376251,0.2689414322376251,0.0
BCAR3,0.2689414322376251,0.0002430935273878,0.2686983387102373
ABCA4,0.2689414322376251,0.0002419547090539,0.2686994775285712
ARHGAP29,0.2689414322376251,0.0002396886993665,0.2687017435382586
FNBP1L,0.2689414322376251,0.0002359364152653,0.2687054958223598
ABCD3,0.2689414322376251,0.0002404341648798,0.26870099807274533
LINC01057,0.2689414322376251,0.2689414322376251,0.0
ALG14,0.2689414322376251,0.0002433158806525,0.2686981163569726
TMEM56,0.2689414322376251,0.2689414322376251,0.0
TMEM56-RWDD3,0.2689414322376251,0.2689414322376251,0.0
LOC101928241,0.2689414322376251,0.2689414322376251,0.0
DPYD-AS1,0.2689414322376251,0.2689414322376251,0.0
PTBP2,0.2689414322376251,0.0002388334542047,0.2687025987834204
MIR137HG,0.2689414322376251,0.2689414322376251,0.0
PLPPR5,0.2689414322376251,0.0002423425758024,0.2686990896618227
LOC100129620,0.2689414322376251,0.2689414322376251,0.0
LOC101928270,0.2689414322376251,0.2689414322376251,0.0
SNX7,0.2689414322376251,0.0002970287168864,0.2686444035207387
AGL,0.2689414322376251,0.0002341291256016,0.2687073031120235
SLC35A3,0.2689414322376251,0.000239017754211,0.26870241448341414
TRMT13,0.2689414322376251,0.0002394201001152,0.26870201213750994
RTCA,0.2689414322376251,0.000240440131165,0.26870099210646015
CDC14A,0.2689414322376251,0.0002439761010464,0.26869745613657875
FRRS1,0.2689414322376251,0.0002387342101428,0.2687026980274823
SLC30A7,0.2689414322376251,0.0003003877354785,0.2686410445021466
LOC102606465,0.2689414322376251,0.2689414322376251,0.0
OLFM3,0.2689414322376251,0.0002416886127321,0.268699743624893
COL11A1,0.2689414322376251,0.0002426799037493,0.2686987523338758
RNPC3,0.2689414322376251,0.0002464503340888,0.2686949819035363
VAV3,0.2689414322376251,0.0002435698115732,0.2686978624260519
NTNG1,0.2689414322376251,0.0002435347705613,0.2686978974670638
HENMT1,0.2689414322376251,0.000242694717599,0.2686987375200261
GPSM2,0.2689414322376251,0.0002402913960395,0.26870114084158564
STXBP3,0.2689414322376251,0.000237740430748,0.26870369180687714
KIAA1324,0.2689414322376251,0.0002379855868639,0.26870344665076124
SORT1,0.2689414322376251,0.0002405595878371,0.26870087264978804
GNAI3,0.2689414322376251,0.0002784142561722,0.2686630179814529
KCNC4,0.2689414322376251,0.0002396889321971,0.268701743305428
KCNA2,0.2689414322376251,0.0002437707880744,0.2686976614495507
CD53,0.2689414322376251,0.0002431716275168,0.2686982606101083
TMIGD3,0.2689414322376251,0.000243278540438,0.26869815369718714
RAP1A,0.2689414322376251,0.000288547569653,0.2686528846679721
KCND3,0.2689414322376251,0.0002422707329969,0.26869916150462825
CTTNBP2NL,0.2689414322376251,0.0002428683510515,0.26869856388657365
ST7L,0.2689414322376251,0.0002406298008281,0.268700802436797
FAM19A3,0.2689414322376251,0.2689414322376251,0.0
LRIG2,0.2689414322376251,0.000240099732764,0.2687013325048611
MAGI3,0.2689414322376251,0.0002425298007437,0.26869890243688144
RSBN1,0.2689414322376251,0.0002400813973508,0.2687013508402743
AP4B1,0.2689414322376251,0.0002425450511509,0.2686988871864742
AMPD1,0.2689414322376251,0.0002418898948235,0.26869954234280163
SYCP1,0.2689414322376251,0.000242650785367,0.2686987814522581
TRIM33,0.2689414322376251,0.0002349952992517,0.2687064369383734
TSPAN2,0.2689414322376251,0.0002413402398815,0.26870009199774364
SLC22A15,0.2689414322376251,0.0002432150067761,0.268698217230849
MAB21L3,0.2689414322376251,0.0002427549043204,0.2686986773333047
CASQ2,0.2689414322376251,0.000240659865085,0.26870077237254014
CD58,0.2689414322376251,0.0002396185445832,0.2687018136930419
IGSF3,0.2689414322376251,0.0002400118246441,0.268701420412981
PTGFRN,0.2689414322376251,0.0002445937716402,0.2686968384659849
LOC101929099,0.2689414322376251,0.2689414322376251,0.0
LINC01525,0.2689414322376251,0.2689414322376251,0.0
VTCN1,0.2689414322376251,0.000241830406594,0.26869960183103114
SPAG17,0.2689414322376251,0.0002422141405986,0.2686992180970265
LOC101929147,0.2689414322376251,0.2689414322376251,0.0
REG4,0.2689414322376251,0.000242422291194,0.26869900994643114
NOTCH2,0.2689414322376251,0.0002412691392237,0.26870016309840145
NBPF8,0.2689414322376251,0.2689414322376251,0.0
HIST2H2BA,0.2689414322376251,0.2689414322376251,0.0
SRGAP2C,0.2689414322376251,0.2689414322376251,0.0
NBPF15,0.2689414322376251,0.2689414322376251,0.0
SRGAP2D,0.2689414322376251,0.2689414322376251,0.0
GPR89A,0.2689414322376251,0.2689414322376251,0.0
SRGAP2B,0.2689414322376251,0.2689414322376251,0.0
FAM72D,0.2689414322376251,0.2689414322376251,0.0
NBPF20,0.2689414322376251,0.0003016691771335,0.26863976306049164
ANKRD35,0.2689414322376251,0.0002418825024506,0.2686995497351745
