Gene,IG Score After Training
HES2,0.0002422584657324478
PLEKHG5,0.00023550985497422516
TNFRSF25,0.00023958770907483995
ESPN,0.00024189564283005893
MIR4252,0.2689414322376251
ZBTB48,0.00023963615240063518
PHF13,0.00030121480813249946
THAP3,0.00024200059124268591
TAS1R1,0.00024249350826721638
KLHL21,0.00023176288232207298
LOC100505887,0.2689414322376251
PER3,0.0002335663593839854
VAMP3,0.0003046356432605535
UTS2,0.00024178474268410355
PARK7,0.2689414322376251
TNFRSF9,0.00024366202706005424
ERRFI1,0.00025188730796799064
LOC102724539,0.2689414322376251
SLC45A1,0.00024334582849405706
LOC102724552,0.2689414322376251
SNORD128,0.2689414322376251
ENO1,2.2157108105602674e-05
MIR6728,0.2689414322376251
ENO1-AS1,0.2689414322376251
CA6,0.0002425013663014397
SLC2A7,0.00024213147116824985
GPR157,0.00024073374515864998
MIR34A,0.2689414322376251
LOC102724571,0.2689414322376251
H6PD,0.00023981464619282633
LOC100506022,0.2689414322376251
PIK3CD-AS1,0.2689414322376251
PIK3CD-AS2,0.2689414322376251
TMEM201,0.0002391374291619286
CLSTN1,0.00022003181220497936
LZIC,0.00023915863130241632
CTNNBIP1,0.0002463627024553716
RBP7,0.00024294662580359727
MIR5697,0.2689414322376251
MIR1273D,0.2689414322376251
RNU6-1,0.2689414322376251
RNU6-9,0.2689414322376251
RNU6-7,0.2689414322376251
RNU6-8,0.2689414322376251
RNU6-2,0.2689414322376251
PGD,1.9840272216242738e-05
APITD1-CORT,0.2689414322376251
CORT,0.00024326948914676905
DFFA,0.0002387448912486434
MHF1,0.2689414322376251
C1orf127,0.00024234810553025454
TARDBP,0.2689414322376251
MASP2,0.00024387703160755336
SRM,0.0002979967975988984
EXOSC10,0.00023895601043477654
LOC105376736,0.2689414322376251
MTOR-AS1,0.2689414322376251
ANGPTL7,0.00024237282923422754
UBIAD1,0.00024038946139626205
LOC101929181,0.2689414322376251
FBXO2,0.0002410318556940183
FBXO44,0.00024187995586544275
MAD2L2,0.0002427449362585321
C1orf167,0.00024446507450193167
LOC102724659,0.2689414322376251
DRAXIN,0.00024288664280902594
AGTRAP,0.00024071722873486578
CLCN6,0.0002374099422013387
NPPA-AS1,0.2689414322376251
NPPA,0.00024207792012020946
NPPB,0.00024275282339658588
RNU5E-1,0.2689414322376251
KIAA2013,0.0002365389373153448
MIR6729,0.2689414322376251
MIIP,0.00024291605222970247
PLOD1,0.00023881933884695172
MFN2,0.000239706743741408
MIR7846,0.2689414322376251
TNFRSF8,0.0002428437874186784
MIR4632,0.2689414322376251
SNORA59B,0.2689414322376251
SNORA59A,0.2689414322376251
MIR6730,0.2689414322376251
AADACL4,0.0002427076833555475
PRAMEF12,0.00024293780734296888
PRAMEF1,0.00024200108600780368
