Gene,IG Score Before Training,IG Score After Training,Difference
UFC1,0.22293895,0.22299334,5.438924e-05
DDX60,0.25879326,0.2588467,5.3435564e-05
KANSL1,0.23003325,0.23008636,5.310774e-05
NFAT5,0.18634783,0.18640046,5.26309e-05
TSN,0.25971872,0.25977123,5.2511692e-05
ATP2B4,0.25059694,0.25064936,5.2422285e-05
IGSF3,0.2672238,0.2672761,5.2303076e-05
CALR,0.25450864,0.25456074,5.209446e-05
PTPRM,0.15630487,0.1563568,5.1930547e-05
DSTYK,0.25410283,0.2541546,5.1766634e-05
OGT,0.18736266,0.18741408,5.1423907e-05
DYNLL2,0.16074097,0.16079214,5.1170588e-05
LGMN,0.19731747,0.19736846,5.0991774e-05
TRIB1,0.19102994,0.19108048,5.054474e-05
ARMC9,0.25480476,0.25485525,5.0485134e-05
ITPK1,0.18820857,0.1882587,5.0127506e-05
NHP2,0.2285156,0.22856545,4.9859285e-05
ACP5,0.28079456,0.28084257,4.801154e-05
DDX6,0.24317211,0.2432198,4.7683716e-05
IFI44,0.2990398,0.29908714,4.7326088e-05
FBLN2,0.27596906,0.27601624,4.7177076e-05
NCOR2,0.23952234,0.23956938,4.7042966e-05
CTSB,0.93534154,0.9353882,4.6670437e-05
PDZRN3,0.2534686,0.25351527,4.6670437e-05
GATAD2B,0.22720626,0.2272528,4.6536326e-05
FARP2,0.23457406,0.23462029,4.6223402e-05
GOLM1,0.12960467,0.12965083,4.6163797e-05
PHB,0.2501914,0.25023755,4.6163797e-05
RCC2,0.29368886,0.29373494,4.607439e-05
L1CAM,0.23755248,0.23759852,4.6044588e-05
SGCD,0.23744342,0.23748942,4.5999885e-05
RNF213,0.24271466,0.24276063,4.5970082e-05
MSRB2,0.28833136,0.2883773,4.595518e-05
TAP2,0.18809241,0.18813811,4.570186e-05
GDPD5,0.2634447,0.2634902,4.5508146e-05
GLS,0.24191584,0.24196081,4.4971704e-05
GAS7,0.27487123,0.27491602,4.479289e-05
IRF9,0.30363914,0.3036839,4.476309e-05
MELTF,0.25131282,0.25135714,4.4316053e-05
CA14,0.2706613,0.27070475,4.3451786e-05
FNDC3A,0.22506803,0.22511138,4.3347478e-05
C8orf33,0.18406264,0.18410592,4.3272972e-05
RALGAPB,0.2144214,0.21446446,4.3049455e-05
FASN,0.16514926,0.16519229,4.3034554e-05
SEC11A,0.2077634,0.20780638,4.297495e-05
TYRO3,0.26511383,0.26515678,4.2945147e-05
NEK6,0.21837626,0.21841921,4.2945147e-05
USO1,0.22829922,0.22834212,4.2900443e-05
AAK1,0.18130337,0.18134606,4.2691827e-05
HNRNPDL,0.23101299,0.23105544,4.245341e-05
CTCF,0.2466214,0.24666381,4.2408705e-05
FBL,0.20623775,0.2062799,4.2155385e-05
ISYNA1,0.2964739,0.2965159,4.2021275e-05
COL12A1,0.27362752,0.2736695,4.1991472e-05
NCOA2,0.26503038,0.26507226,4.1872263e-05
RGS10,0.26726046,0.2673023,4.184246e-05
DCTD,0.23552155,0.2355629,4.1350722e-05
BCL2L13,0.1864518,0.18649311,4.132092e-05
GBP5,0.25884047,0.2588816,4.1127205e-05
DYM,0.21471408,0.2147552,4.1127205e-05
KHDRBS3,0.23500456,0.2350455,4.093349e-05
CADM1,0.2641912,0.26423183,4.0620565e-05
BCL9L,0.24977508,0.24981542,4.0337443e-05
NDUFV2,0.23380655,0.23384686,4.030764e-05
C11orf24,0.26089653,0.2609366,4.005432e-05
BRD2,0.18471776,0.18475781,4.005432e-05
ANAPC5,0.16681513,0.16685477,3.963709e-05
SH3PXD2B,0.2622302,0.2622696,3.939867e-05
CCDC47,0.23173079,0.2317694,3.860891e-05
VPS26B,0.23012166,0.23016019,3.8534403e-05
B3GLCT,0.26776117,0.2677993,3.811717e-05
D2HGDH,0.2644491,0.2644871,3.799796e-05
PLEKHO2,0.27481914,0.27485698,3.784895e-05
ST3GAL5,0.23498753,0.23502536,3.783405e-05
RAB6A,0.21087869,0.21091646,3.7774444e-05
