Gene,IG Score Before Training,IG Score After Training,Difference
UCK2,0.23084672,0.23084678,5.9604645e-08
SFT2D2,0.2522291,0.25222915,5.9604645e-08
SUMF2,0.167334,0.16733406,5.9604645e-08
KIF21A,0.25035572,0.25035578,5.9604645e-08
ZNF317,0.2534798,0.25347987,5.9604645e-08
CLPP,0.23191467,0.23191473,5.9604645e-08
ZNF292,0.24200009,0.24200015,5.9604645e-08
MFHAS1,0.26318043,0.2631805,5.9604645e-08
ZNF26,0.25204164,0.2520417,5.9604645e-08
METTL17,0.23789139,0.23789145,5.9604645e-08
LDOC1,0.24342357,0.24342363,5.9604645e-08
MRPL41,0.27061707,0.27061713,5.9604645e-08
GTF3C5,0.25902265,0.2590227,5.9604645e-08
HSPA6,0.26912746,0.26912752,5.9604645e-08
C1QB,0.26997346,0.26997352,5.9604645e-08
DHX38,0.24578533,0.24578539,5.9604645e-08
LPIN1,0.24965997,0.24966003,5.9604645e-08
IGF1,0.27225438,0.27225444,5.9604645e-08
KPNA3,0.24640952,0.24640958,5.9604645e-08
IL13RA1,0.2681279,0.26812795,5.9604645e-08
EHMT2,0.2532775,0.25327757,5.9604645e-08
RIN2,0.26772696,0.26772702,5.9604645e-08
CKAP2,0.25722483,0.2572249,5.9604645e-08
TRIM13,0.2650032,0.26500326,5.9604645e-08
MOB3A,0.25832924,0.2583293,5.9604645e-08
RECQL5,0.24667284,0.2466729,5.9604645e-08
MAD2L1,0.26875785,0.2687579,5.9604645e-08
LAMC2,0.25754917,0.25754923,5.9604645e-08
LOXL1,0.27234223,0.2723423,5.9604645e-08
DPCD,0.24820852,0.24820858,5.9604645e-08
ZNF362,0.26574284,0.2657429,5.9604645e-08
CCT5,0.27620792,0.27620798,5.9604645e-08
MPI,0.24609296,0.24609302,5.9604645e-08
SLC16A1,0.24804473,0.24804479,5.9604645e-08
AURKB,0.266693,0.26669306,5.9604645e-08
TNFRSF10B,0.2676387,0.26763877,5.9604645e-08
DERL2,0.25180638,0.25180644,5.9604645e-08
KIFC2,0.19918546,0.19918552,5.9604645e-08
FBRSL1,0.22535501,0.22535507,5.9604645e-08
CD68,0.26783577,0.26783583,5.9604645e-08
PSMB8,0.19712205,0.19712211,5.9604645e-08
PLAU,0.2596811,0.25968117,5.9604645e-08
PLIN2,0.27141213,0.2714122,5.9604645e-08
SLC31A1,0.25342268,0.25342274,5.9604645e-08
COX15,0.2464178,0.24641787,5.9604645e-08
CA12,0.29732767,0.29732773,5.9604645e-08
WNT11,0.26286596,0.26286602,5.9604645e-08
GTPBP2,0.24783066,0.24783072,5.9604645e-08
UNC5A,0.26287863,0.2628787,5.9604645e-08
UBB,0.14308998,0.14309004,5.9604645e-08
TMC6,0.26046613,0.2604662,5.9604645e-08
MDC1,0.25584817,0.25584823,5.9604645e-08
MRPL14,0.27311274,0.2731128,5.9604645e-08
PTPN2,0.26119626,0.26119632,5.9604645e-08
MTG1,0.22592427,0.22592433,5.9604645e-08
NFKB2,0.2599082,0.25990826,5.9604645e-08
SLC35B2,0.23354329,0.23354335,5.9604645e-08
TPST2,0.2837984,0.28379846,5.9604645e-08
COL7A1,0.299167,0.29916707,5.9604645e-08
LRIF1,0.24604647,0.24604653,5.9604645e-08
NIPA2,0.24517363,0.2451737,5.9604645e-08
LOXL2,0.27410576,0.27410582,5.9604645e-08
MRPS9,0.26951456,0.26951462,5.9604645e-08
CDKN2B-AS1,0.26868165,0.2686817,5.9604645e-08
TMEM127,0.25278845,0.2527885,5.9604645e-08
METTL15,0.24383663,0.24383669,5.9604645e-08
RAB27A,0.2325448,0.23254485,5.9604645e-08
RSL24D1,0.25356522,0.25356528,5.9604645e-08
CDH2,0.2656264,0.26562646,5.9604645e-08
FGF18,0.27031428,0.27031434,5.9604645e-08
SP1,0.24072611,0.24072617,5.9604645e-08
CLN6,0.23359928,0.23359933,5.9604645e-08
