Gene,SPACER Score Before Training,SPACER Score After Training,Difference
PJA2,-1.0,1.6486231088638306,2.6486231088638306
SLC35F2,-1.0,1.6478124856948853,2.6478124856948853
SMG7,-1.0,1.6466987133026123,2.6466987133026123
NEAT1,-1.0,1.6450031995773315,2.6450031995773315
CYP51A1,-1.0,1.644416093826294,2.644416093826294
DMXL1,-1.0,1.6435400247573853,2.6435400247573853
PDE4DIP,-1.0,1.6429954767227173,2.6429954767227173
IL15,-1.0,1.6428675651550293,2.6428675651550293
MICA,-1.0,1.642798900604248,2.642798900604248
NECTIN3,-1.0,1.642264485359192,2.642264485359192
TEAD2,-1.0,1.6412265300750732,2.6412265300750732
LAMTOR3,-1.0,1.6398944854736328,2.639894485473633
TARBP2,-1.0,1.6381943225860596,2.6381943225860596
SERINC5,-1.0,1.637453317642212,2.637453317642212
FAM50A,-1.0,1.6361665725708008,2.636166572570801
TNPO1,-1.0,1.6330742835998535,2.6330742835998535
NASP,-1.0,1.6330324411392212,2.633032441139221
NORAD,-1.0,1.6313108205795288,2.631310820579529
SCAMP2,-1.0,1.6304028034210205,2.6304028034210205
REEP4,-1.0,1.6285544633865356,2.6285544633865356
HOOK2,-1.0,1.6259117126464844,2.6259117126464844
PACS2,-1.0,1.6246153116226196,2.6246153116226196
MRPS26,-1.0,1.6240875720977783,2.6240875720977783
EPB41L1,-1.0,1.6234140396118164,2.6234140396118164
C1orf116,-1.0,1.6215527057647705,2.6215527057647705
ALG13,-1.0,1.6194767951965332,2.619476795196533
BTN3A3,-1.0,1.6191999912261963,2.6191999912261963
CHCHD7,-1.0,1.6153838634490967,2.6153838634490967
UTP3,-1.0,1.6134339570999146,2.6134339570999146
USP16,-1.0,1.6123380661010742,2.612338066101074
MRPL42,-1.0,1.6109869480133057,2.6109869480133057
ZNF266,-1.0,1.6086149215698242,2.608614921569824
RPN1,-1.0,1.6061129570007324,2.6061129570007324
TMEM45B,-1.0,1.6060558557510376,2.6060558557510376
ACSS2,-1.0,1.6048723459243774,2.6048723459243774
ARL1,-1.0,1.6037603616714478,2.6037603616714478
MMS19,-1.0,1.6030018329620361,2.603001832962036
ANO6,-1.0,1.6008378267288208,2.600837826728821
VMA21,-1.0,1.5996390581130981,2.599639058113098
VASN,-1.0,1.5990290641784668,2.599029064178467
ABR,-1.0,1.5940585136413574,2.5940585136413574
PSMG2,-1.0,1.5933200120925903,2.5933200120925903
TMEM184C,-1.0,1.5788767337799072,2.5788767337799072
CLCF1,-1.0,1.5775474309921265,2.5775474309921265
RBM12,-1.0,1.5771039724349976,2.5771039724349976
PKD1,-1.0,1.5769107341766357,2.5769107341766357
MED13,-1.0,1.576804518699646,2.576804518699646
MRPL11,-1.0,1.5756604671478271,2.575660467147827
TTLL3,-1.0,1.5748296976089478,2.5748296976089478
MPZL1,-1.0,1.572237491607666,2.572237491607666
H2AFV,-1.0,1.5710879564285278,2.571087956428528
MREG,-1.0,1.5692894458770752,2.569289445877075
ESPN,-1.0,1.5690701007843018,2.5690701007843018
ZNRD1,-1.0,1.5685186386108398,2.56851863861084
NDUFA9,-1.0,1.5660433769226074,2.5660433769226074
ETV6,-1.0,1.564819097518921,2.564819097518921
RGL2,-1.0,1.5641525983810425,2.5641525983810425
MRPL38,-1.0,1.5624189376831055,2.5624189376831055
CNOT7,-1.0,1.5621830224990845,2.5621830224990845
NT5C,-1.0,1.5615419149398804,2.5615419149398804
SLC10A3,-1.0,1.5609307289123535,2.5609307289123535
TYSND1,-1.0,1.560818076133728,2.560818076133728
PTK6,-1.0,1.5605337619781494,2.5605337619781494
ARFIP1,-1.0,1.5592764616012573,2.5592764616012573
ACTL6A,-1.0,1.5578694343566895,2.5578694343566895
